Date,0,1,2,3,4,Total
08/26/2016,17,7,13,16,,53
08/27/2016,13,7,14,19,,53
08/28/2016,15,14,9,21,,59
08/29/2016,10,8,10,10,,38
08/30/2016,8,4,12,5,,29
08/31/2016,9,4,11,16,,40
09/01/2016,17,3,13,12,,45
09/02/2016,15,13,8,18,,54
09/03/2016,22,11,9,20,,62
09/04/2016,16,6,10,22,,54
09/05/2016,13,9,9,10,,41
09/06/2016,4,7,12,24,,47
09/07/2016,11,6,12,19,,48
09/08/2016,6,12,16,17,,51
09/09/2016,6,7,15,15,,43
09/10/2016,10,8,12,16,,46
09/11/2016,14,14,13,21,,62
09/12/2016,12,7,9,14,,42
09/13/2016,10,6,13,16,,45
09/14/2016,8,10,7,11,,36
09/15/2016,7,10,7,10,,34
09/16/2016,14,13,7,16,,50
09/17/2016,12,10,15,25,,62
09/18/2016,16,12,7,16,,51
09/19/2016,11,14,14,17,,56
09/20/2016,12,10,10,14,,46
09/21/2016,9,7,7,9,,32
09/22/2016,11,2,5,9,,27
09/23/2016,13,7,12,10,,42
09/24/2016,18,6,25,13,,62
09/25/2016,17,15,17,20,,69
09/26/2016,7,12,14,17,,50
09/27/2016,7,7,11,15,,40
09/28/2016,13,7,11,13,,44
09/29/2016,9,9,15,12,,45
09/30/2016,9,5,18,23,,55
10/01/2016,10,9,21,13,,53
10/02/2016,13,8,17,19,,57
10/03/2016,9,10,11,19,,49
10/04/2016,10,10,6,11,,37
10/05/2016,13,7,6,19,,45
10/06/2016,12,10,18,22,,62
10/07/2016,17,10,12,16,,55
10/08/2016,22,11,15,23,,71
10/09/2016,13,6,10,17,,46
10/10/2016,8,5,16,14,,43
10/11/2016,12,6,16,13,,47
10/12/2016,22,10,14,18,,64
10/13/2016,2,13,16,11,,42
10/14/2016,4,9,12,11,,36
10/15/2016,11,5,14,8,,38
10/16/2016,15,9,12,13,,49
10/17/2016,11,9,18,13,,51
10/18/2016,10,10,14,15,,49
10/19/2016,15,7,15,6,,43
10/20/2016,13,10,13,16,,52
10/21/2016,16,5,13,11,,45
10/22/2016,15,10,14,11,,50
10/23/2016,19,10,13,15,,57
10/24/2016,10,9,14,15,1,49
10/25/2016,9,4,13,18,,44
10/26/2016,12,7,11,17,,47
10/27/2016,4,12,11,11,,38
10/28/2016,10,7,12,23,,52
10/29/2016,13,7,11,12,,43
10/30/2016,11,11,21,22,,65
10/31/2016,15,15,11,23,,64
11/01/2016,11,12,11,15,,49
11/02/2016,6,7,21,14,,48
11/03/2016,13,10,10,13,,46
11/04/2016,13,8,11,12,,44
11/05/2016,18,16,12,23,,69
11/06/2016,17,12,9,18,,56
11/07/2016,11,8,15,13,,47
11/08/2016,15,13,14,11,,53
11/09/2016,9,8,13,15,,45
11/10/2016,10,10,8,12,,40
11/11/2016,12,17,15,20,,64
11/12/2016,15,11,15,20,,61
11/13/2016,14,15,11,22,,62
11/14/2016,15,18,13,10,,56
11/15/2016,15,12,16,18,,61
11/16/2016,17,9,16,15,,57
11/17/2016,12,10,17,19,,58
11/18/2016,14,15,10,18,,57
11/19/2016,14,11,17,29,,71
11/20/2016,11,8,16,13,,48
11/21/2016,12,13,10,15,,50
11/22/2016,12,5,12,16,,45
11/23/2016,12,13,14,15,,54
11/24/2016,18,14,9,14,,55
11/25/2016,13,7,17,16,,53
11/26/2016,17,10,10,19,,56
11/27/2016,23,7,16,35,,81
11/28/2016,9,10,14,17,,50
11/29/2016,10,11,16,17,,54
11/30/2016,15,13,11,7,,46
12/01/2016,12,9,11,15,,47
12/02/2016,13,9,16,15,,53
12/03/2016,14,14,17,16,,61
12/04/2016,13,7,15,25,,60
12/05/2016,15,11,19,30,,75
12/06/2016,6,13,10,24,,53
12/07/2016,16,12,14,14,,56
12/08/2016,11,8,10,13,,42
12/09/2016,11,6,12,13,,42
12/10/2016,14,12,16,22,,64
12/11/2016,14,9,11,27,,61
12/12/2016,24,10,14,14,,62
12/13/2016,13,14,15,15,,57
12/14/2016,10,11,18,16,,55
12/15/2016,12,16,13,19,,60
12/16/2016,19,12,17,14,1,63
12/17/2016,13,8,20,18,,59
12/18/2016,16,9,22,15,,62
12/19/2016,16,14,15,22,,67
12/20/2016,15,15,19,12,,61
12/21/2016,11,12,10,17,,50
12/22/2016,4,16,19,13,,52
12/23/2016,10,11,14,20,,55
12/24/2016,14,9,21,19,,63
12/25/2016,16,5,10,17,,48
12/26/2016,11,12,23,17,,63
12/27/2016,12,5,18,15,,50
12/28/2016,19,11,18,16,,64
12/29/2016,17,15,10,19,,61
12/30/2016,13,4,20,28,,65
12/31/2016,12,4,16,26,,58
01/01/2017,24,10,28,43,,105
01/02/2017,25,10,18,26,,79
01/03/2017,14,18,22,13,,67
01/04/2017,18,11,13,18,,60
01/05/2017,7,4,21,16,,48
01/06/2017,10,12,15,14,,51
01/07/2017,13,15,8,17,,53
01/08/2017,11,10,15,30,,66
01/09/2017,11,11,14,18,,54
01/10/2017,12,12,11,10,,45
01/11/2017,13,7,19,16,,55
01/12/2017,13,9,13,15,,50
01/13/2017,14,12,19,13,,58
01/14/2017,14,6,14,25,,59
01/15/2017,11,15,21,25,,72
01/16/2017,10,10,12,9,,41
01/17/2017,20,10,11,9,,50
01/18/2017,15,9,11,16,,51
01/19/2017,18,10,21,14,,63
01/20/2017,17,9,18,13,,57
01/21/2017,12,9,11,23,,55
01/22/2017,16,8,17,24,,65
01/23/2017,9,12,26,12,,59
01/24/2017,13,10,10,14,,47
01/25/2017,10,10,6,10,,36
01/26/2017,14,12,17,18,,61
01/27/2017,9,12,16,14,,51
01/28/2017,18,12,14,20,,64
01/29/2017,13,5,17,26,,61
01/30/2017,17,14,17,17,,65
01/31/2017,12,10,6,24,,52
02/01/2017,17,12,20,19,,68
02/02/2017,15,10,13,24,,62
02/03/2017,16,15,9,19,,59
02/04/2017,19,10,23,21,,73
02/05/2017,16,6,13,20,,55
02/06/2017,10,11,18,14,,53
02/07/2017,21,10,19,14,,64
02/08/2017,8,12,8,7,,35
02/09/2017,14,8,25,21,,68
02/10/2017,15,13,14,23,,65
02/11/2017,11,14,11,22,,58
02/12/2017,8,6,12,17,,43
02/13/2017,15,10,19,16,,60
02/14/2017,9,4,12,17,,42
02/15/2017,22,4,22,13,,61
02/16/2017,14,7,16,15,,52
02/17/2017,19,14,20,21,,74
02/18/2017,13,11,17,21,,62
02/19/2017,25,14,22,22,,83
02/20/2017,11,10,16,17,,54
02/21/2017,13,5,15,8,,41
02/22/2017,16,5,12,14,,47
02/23/2017,10,13,24,23,,70
02/24/2017,7,19,14,26,,66
02/25/2017,15,14,18,19,,66
02/26/2017,14,11,12,25,,62
02/27/2017,14,9,15,18,,56
02/28/2017,12,14,12,10,,48
03/01/2017,26,6,13,22,,67
03/02/2017,13,17,22,18,,70
03/03/2017,14,8,20,19,,61
03/04/2017,20,15,22,23,,80
03/05/2017,12,9,27,27,,75
03/06/2017,15,14,17,22,,68
03/07/2017,18,16,9,16,,59
03/08/2017,16,14,22,9,,61
03/09/2017,16,18,11,27,,72
03/10/2017,18,13,10,17,,58
03/11/2017,16,13,14,19,,62
03/12/2017,14,15,23,16,,68
03/13/2017,16,11,13,17,,57
03/14/2017,9,14,25,18,,66
03/15/2017,12,9,19,14,,54
03/16/2017,15,8,17,20,,60
03/17/2017,13,10,16,22,,61
03/18/2017,11,12,9,21,,53
03/19/2017,11,12,9,12,,44
03/20/2017,11,13,10,10,,44
03/21/2017,12,6,18,11,,47
03/22/2017,12,7,7,18,,44
03/23/2017,15,10,16,17,,58
03/24/2017,11,10,14,24,,59
03/25/2017,19,12,19,22,,72
03/26/2017,17,7,21,15,,60
03/27/2017,13,10,17,18,,58
03/28/2017,7,9,11,13,,40
03/29/2017,10,8,9,21,,48
03/30/2017,16,13,8,15,,52
03/31/2017,13,5,14,17,,49
04/01/2017,21,13,20,21,,75
04/02/2017,16,7,10,16,,49
04/03/2017,20,6,14,15,,55
04/04/2017,10,11,18,10,,49
04/05/2017,13,15,13,12,,53
04/06/2017,10,10,16,15,,51
04/07/2017,21,9,17,10,,57
04/08/2017,13,6,16,20,,55
04/09/2017,13,11,18,22,,64
04/10/2017,15,14,16,30,,75
04/11/2017,14,11,15,12,,52
04/12/2017,14,12,14,24,,64
04/13/2017,24,16,20,29,,89
04/14/2017,22,10,14,32,,78
04/15/2017,16,9,19,23,,67
04/16/2017,13,12,16,19,,60
04/17/2017,6,17,12,18,,53
04/18/2017,8,11,13,9,,41
04/19/2017,11,13,13,9,,46
04/20/2017,9,8,16,18,,51
04/21/2017,5,6,7,21,,39
04/22/2017,10,5,10,13,,38
04/23/2017,15,8,13,16,,52
04/24/2017,18,9,7,12,,46
04/25/2017,10,7,13,6,,36
04/26/2017,8,10,6,10,,34
04/27/2017,14,13,17,17,,61
04/28/2017,13,5,12,18,,48
04/29/2017,16,3,12,7,,38
04/30/2017,13,11,10,13,,47
05/01/2017,16,11,17,19,,63
05/02/2017,14,12,19,9,,54
05/03/2017,10,10,14,17,,51
05/04/2017,15,12,11,16,,54
05/05/2017,17,15,16,18,,66
05/06/2017,9,10,15,21,,55
05/07/2017,13,10,13,25,,61
05/08/2017,15,11,15,23,,64
05/09/2017,8,9,18,8,,43
05/10/2017,14,11,13,19,,57
05/11/2017,6,13,11,10,,40
05/12/2017,13,4,8,13,,38
05/13/2017,16,8,6,15,,45
05/14/2017,11,7,7,17,,42
05/15/2017,7,11,11,12,,41
05/16/2017,11,11,8,12,,42
05/17/2017,8,6,8,5,,27
05/18/2017,8,4,10,8,,30
05/19/2017,12,11,19,12,,54
05/20/2017,8,9,7,11,,35
05/21/2017,11,5,14,15,,45
05/22/2017,14,7,11,15,,47
05/23/2017,15,9,8,20,,52
05/24/2017,5,5,11,13,,34
05/25/2017,10,4,13,12,,39
05/26/2017,13,9,16,17,,55
05/27/2017,15,20,17,19,,71
05/28/2017,11,10,20,14,,55
05/29/2017,10,3,9,14,,36
05/30/2017,13,7,15,8,,43
05/31/2017,10,6,10,10,,36
06/01/2017,15,10,13,13,,51
06/02/2017,11,15,10,12,,48
06/03/2017,13,11,15,19,,58
06/04/2017,11,9,12,20,,52
06/05/2017,20,12,16,11,,59
06/06/2017,13,16,13,15,,57
06/07/2017,18,10,14,12,,54
06/08/2017,12,11,8,14,,45
06/09/2017,14,10,15,10,,49
06/10/2017,12,13,10,19,,54
06/11/2017,11,8,11,27,,57
06/12/2017,9,12,10,15,,46
06/13/2017,15,14,19,11,,59
06/14/2017,9,5,8,16,,38
06/15/2017,6,9,15,16,,46
06/16/2017,11,13,16,6,,46
06/17/2017,8,9,13,19,,49
06/18/2017,15,9,20,13,,57
06/19/2017,14,11,18,10,,53
06/20/2017,11,6,18,16,,51
06/21/2017,9,9,15,15,,48
06/22/2017,10,7,15,13,,45
06/23/2017,13,9,17,13,,52
06/24/2017,15,13,7,22,,57
06/25/2017,13,5,13,12,,43
06/26/2017,9,16,21,20,,66
06/27/2017,11,6,11,16,,44
06/28/2017,15,8,18,11,,52
06/29/2017,8,13,10,8,,39
06/30/2017,10,14,16,15,,55
07/01/2017,12,7,9,25,,53
07/02/2017,18,12,13,19,,62
07/03/2017,9,9,11,17,,46
07/04/2017,15,6,10,9,,40
07/05/2017,12,8,9,18,,47
07/06/2017,14,8,13,13,,48
07/07/2017,11,11,10,17,,49
07/08/2017,5,13,7,20,,45
07/09/2017,10,7,10,14,,41
07/10/2017,9,5,9,9,,32
07/11/2017,8,11,6,8,,33
07/12/2017,10,10,11,13,,44
07/13/2017,11,7,10,19,,47
07/14/2017,6,4,4,20,,34
07/15/2017,10,6,6,19,,41
07/16/2017,14,8,7,15,,44
07/17/2017,6,4,8,9,,27
07/18/2017,13,7,10,13,,43
07/19/2017,7,8,14,5,,34
07/20/2017,11,9,12,13,,45
07/21/2017,10,7,8,14,,39
07/22/2017,11,7,11,22,,51
07/23/2017,9,8,9,13,,39
07/24/2017,10,13,7,13,,43
07/25/2017,6,13,9,15,,43
07/26/2017,12,10,11,20,,53
07/27/2017,13,8,15,12,,48
07/28/2017,18,4,7,16,,45
07/29/2017,7,6,5,17,,35
07/30/2017,12,10,8,18,,48
07/31/2017,15,11,9,8,,43
08/01/2017,10,15,9,14,,48
08/02/2017,10,9,13,15,,47
08/03/2017,14,11,14,18,,57
08/04/2017,10,7,8,20,,45
08/05/2017,11,5,7,12,,35
08/06/2017,14,12,10,14,,50
08/07/2017,7,8,10,18,,43
08/08/2017,5,6,8,5,,24
08/09/2017,5,5,11,11,,32
08/10/2017,4,9,11,11,,35
08/11/2017,10,10,12,13,,45
08/12/2017,13,16,17,19,,65
08/13/2017,14,9,16,15,,54
08/14/2017,12,12,10,11,,45
08/15/2017,14,15,10,6,,45
08/16/2017,11,11,12,13,,47
08/17/2017,14,9,9,8,,40
08/18/2017,9,15,9,17,,50
08/19/2017,10,9,11,13,,43
08/20/2017,11,9,10,13,,43
08/21/2017,12,14,11,9,,46
08/22/2017,6,12,13,12,,43
08/23/2017,6,5,10,13,,34
08/24/2017,14,7,9,15,,45
08/25/2017,15,8,12,13,,48
08/26/2017,14,7,5,18,,44
08/27/2017,11,8,13,14,,46
08/28/2017,15,11,14,17,,57
08/29/2017,11,10,6,15,,42
08/30/2017,14,6,19,14,,53
08/31/2017,8,8,7,9,,32
09/01/2017,14,13,22,13,,62
09/02/2017,17,9,14,15,,55
09/03/2017,17,10,14,20,,61
09/04/2017,19,8,17,22,,66
09/05/2017,17,10,13,18,,58
09/06/2017,12,6,12,18,,48
09/07/2017,10,12,10,11,,43
09/08/2017,3,9,12,13,,37
09/09/2017,13,13,16,18,,60
09/10/2017,16,13,9,22,,60
09/11/2017,9,11,9,7,,36
09/12/2017,7,6,14,9,,36
09/13/2017,13,9,11,17,,50
09/14/2017,9,15,16,16,,56
09/15/2017,12,12,14,21,,59
09/16/2017,8,10,14,14,,46
09/17/2017,14,11,20,13,,58
09/18/2017,10,6,11,12,,39
09/19/2017,12,8,14,11,,45
09/20/2017,8,11,6,14,,39
09/21/2017,17,15,16,9,,57
09/22/2017,10,15,12,13,,50
09/23/2017,8,7,15,26,,56
09/24/2017,19,13,13,14,,59
09/25/2017,9,12,11,5,,37
09/26/2017,7,6,10,12,,35
09/27/2017,7,8,8,10,,33
09/28/2017,10,8,8,12,,38
09/29/2017,17,12,13,12,,54
09/30/2017,17,17,11,13,,58
10/01/2017,19,10,16,25,,70
10/02/2017,11,17,19,19,,66
10/03/2017,13,8,25,12,,58
10/04/2017,16,8,17,17,,58
10/05/2017,14,7,13,16,,50
10/06/2017,11,5,6,19,,41
10/07/2017,12,8,18,12,,50
10/08/2017,11,5,14,16,,46
10/09/2017,18,9,11,16,,54
10/10/2017,12,13,14,13,,52
10/11/2017,9,12,11,10,,42
10/12/2017,12,13,10,9,,44
10/13/2017,8,11,14,16,,49
10/14/2017,14,15,9,13,,51
10/15/2017,14,11,12,19,,56
10/16/2017,9,6,14,14,,43
10/17/2017,13,11,13,10,,47
10/18/2017,15,1,14,18,,48
10/19/2017,13,9,14,20,,56
10/20/2017,10,9,13,16,,48
10/21/2017,19,9,16,11,,55
10/22/2017,9,8,14,14,,45
10/23/2017,14,6,18,13,,51
10/24/2017,9,19,8,9,,45
10/25/2017,8,10,8,11,,37
10/26/2017,10,12,9,7,,38
10/27/2017,15,13,12,16,,56
10/28/2017,13,8,9,23,,53
10/29/2017,9,6,6,14,,35
10/30/2017,12,7,16,9,,44
10/31/2017,8,9,9,19,,45
11/01/2017,13,10,16,16,,55
11/02/2017,18,8,18,24,,68
11/03/2017,15,6,23,24,,68
11/04/2017,19,9,17,23,,68
11/05/2017,14,12,14,14,,54
11/06/2017,15,12,13,16,,56
11/07/2017,12,18,10,15,,55
11/08/2017,13,10,13,21,,57
11/09/2017,11,11,14,18,,54
11/10/2017,11,9,16,11,,47
11/11/2017,12,6,15,13,,46
11/12/2017,15,10,9,18,,52
11/13/2017,10,11,10,19,,50
11/14/2017,7,13,19,14,,53
11/15/2017,15,12,10,15,,52
11/16/2017,17,10,16,15,,58
11/17/2017,17,9,18,17,,61
11/18/2017,12,9,16,20,,57
11/19/2017,17,7,15,15,,54
11/20/2017,15,6,16,17,,54
11/21/2017,14,4,13,10,,41
11/22/2017,13,8,10,13,,44
11/23/2017,12,14,16,17,,59
11/24/2017,9,8,6,12,,35
11/25/2017,18,8,13,15,,54
11/26/2017,14,7,11,16,,48
11/27/2017,13,13,20,11,,57
11/28/2017,10,13,11,15,,49
11/29/2017,14,7,17,15,,53
11/30/2017,12,4,17,15,,48
12/01/2017,16,11,27,22,,76
12/02/2017,8,9,21,27,,65
12/03/2017,21,8,18,20,,67
12/04/2017,10,13,21,10,,54
12/05/2017,17,14,20,19,,70
12/06/2017,15,8,12,19,,54
12/07/2017,21,11,14,15,,61
12/08/2017,15,7,14,14,,50
12/09/2017,11,11,12,29,,63
12/10/2017,13,12,18,23,,66
12/11/2017,11,17,14,16,,58
12/12/2017,9,10,15,8,,42
12/13/2017,7,12,10,14,,43
12/14/2017,14,6,11,12,,43
12/15/2017,9,13,13,14,,49
12/16/2017,13,8,18,23,,62
12/17/2017,18,9,16,13,,56
12/18/2017,17,15,13,16,,61
12/19/2017,15,12,16,11,,54
12/20/2017,11,10,11,4,,36
12/21/2017,11,15,20,12,,58
12/22/2017,16,13,18,17,,64
12/23/2017,17,14,26,14,,71
12/24/2017,13,11,15,25,,64
12/25/2017,14,14,23,13,,64
12/26/2017,10,15,9,10,,44
12/27/2017,17,11,11,11,,50
12/28/2017,15,8,10,9,,42
12/29/2017,12,3,4,8,,27
12/30/2017,9,8,4,12,,33
12/31/2017,7,1,2,6,,16
01/01/2018,17,14,20,30,,81
01/02/2018,18,11,14,18,,61
01/03/2018,11,7,13,18,,49
01/04/2018,9,8,11,17,,45
01/05/2018,14,14,9,18,,55
01/06/2018,5,16,11,17,,49
01/07/2018,10,5,8,15,,38
01/08/2018,9,9,4,14,,36
01/09/2018,17,18,16,14,,65
01/10/2018,12,8,8,8,,36
01/11/2018,13,11,12,11,,47
01/12/2018,10,12,9,14,,45
01/13/2018,12,15,14,15,,56
01/14/2018,12,13,14,22,,61
01/15/2018,9,12,10,17,,48
01/16/2018,5,8,17,16,,46
01/17/2018,18,7,10,8,,43
01/18/2018,10,11,15,7,,43
01/19/2018,15,15,19,10,,59
01/20/2018,10,19,12,14,,55
01/21/2018,16,17,18,21,,72
01/22/2018,20,10,15,14,,59
01/23/2018,10,16,14,11,,51
01/24/2018,10,8,10,9,,37
01/25/2018,16,18,17,17,,68
01/26/2018,13,13,16,23,,65
01/27/2018,12,9,16,12,,49
01/28/2018,17,15,11,20,,63
01/29/2018,7,13,12,15,,47
01/30/2018,6,8,14,12,,40
01/31/2018,15,10,14,13,,52
02/01/2018,9,6,18,17,,50
02/02/2018,16,15,16,20,,67
02/03/2018,13,6,22,11,,52
02/04/2018,12,13,15,16,,56
02/05/2018,17,13,23,13,,66
02/06/2018,13,5,19,11,,48
02/07/2018,9,13,12,6,,40
02/08/2018,11,10,12,12,,45
02/09/2018,13,4,10,22,,49
02/10/2018,13,8,16,31,,68
02/11/2018,11,13,13,22,,59
02/12/2018,11,18,12,20,,61
02/13/2018,12,14,9,15,,50
02/14/2018,11,9,10,11,,41
02/15/2018,11,14,18,15,,58
02/16/2018,11,9,14,21,,55
02/17/2018,15,18,14,19,,66
02/18/2018,13,13,19,25,,70
02/19/2018,11,6,19,11,,47
02/20/2018,22,10,14,18,,64
02/21/2018,6,13,21,8,,48
02/22/2018,13,14,15,5,,47
02/23/2018,20,13,17,10,,60
02/24/2018,13,8,15,18,,54
02/25/2018,16,15,20,23,,74
02/26/2018,16,8,11,13,,48
02/27/2018,13,7,11,12,,43
02/28/2018,10,14,15,16,,55
03/01/2018,14,10,14,20,,58
03/02/2018,16,16,20,20,,72
03/03/2018,13,11,17,12,,53
03/04/2018,12,12,17,14,,55
03/05/2018,19,19,16,16,,70
03/06/2018,14,12,15,20,,61
03/07/2018,12,6,11,16,,45
03/08/2018,14,9,12,19,,54
03/09/2018,8,10,16,22,,56
03/10/2018,18,10,15,14,,57
03/11/2018,13,12,13,18,,56
03/12/2018,14,11,13,6,,44
03/13/2018,12,7,7,15,,41
03/14/2018,10,11,15,11,,47
03/15/2018,18,9,16,13,,56
03/16/2018,16,12,19,13,,60
03/17/2018,18,8,15,22,1,64
03/18/2018,18,6,18,24,,66
03/19/2018,16,9,19,16,,60
03/20/2018,12,12,16,15,,55
03/21/2018,11,9,29,19,,68
03/22/2018,16,6,14,13,,49
03/23/2018,12,7,11,19,,49
03/24/2018,14,10,11,22,,57
03/25/2018,21,8,8,14,,51
03/26/2018,9,6,15,16,,46
03/27/2018,11,5,18,18,,52
03/28/2018,14,8,9,10,,41
03/29/2018,10,8,13,12,,43
03/30/2018,11,10,12,10,,43
03/31/2018,12,10,22,21,,65
04/01/2018,13,12,15,15,,55
04/02/2018,14,11,14,13,,52
04/03/2018,11,9,15,10,,45
04/04/2018,20,8,11,13,,52
04/05/2018,17,9,17,11,,54
04/06/2018,9,9,20,15,,53
04/07/2018,9,8,16,19,,52
04/08/2018,11,8,8,15,,42
04/09/2018,15,9,13,16,,53
04/10/2018,14,10,13,30,,67
04/11/2018,10,11,15,19,,55
04/12/2018,21,16,20,15,,72
04/13/2018,24,17,24,26,,91
04/14/2018,23,14,18,23,,78
04/15/2018,19,18,15,29,,81
04/16/2018,15,9,16,18,,58
04/17/2018,7,9,14,12,,42
04/18/2018,7,6,12,11,,36
04/19/2018,12,8,16,16,,52
04/20/2018,11,10,13,17,,51
04/21/2018,18,12,17,10,,57
04/22/2018,11,9,9,12,,41
04/23/2018,8,7,12,14,,41
04/24/2018,8,5,16,11,,40
04/25/2018,12,8,10,12,,42
04/26/2018,12,6,12,9,,39
04/27/2018,10,7,13,14,,44
04/28/2018,14,12,3,11,,40
04/29/2018,8,4,17,12,,41
04/30/2018,10,6,6,13,,35
05/01/2018,13,5,10,14,,42
05/02/2018,10,9,4,11,,34
05/03/2018,9,8,6,16,,39
05/04/2018,13,8,10,7,,38
05/05/2018,10,9,17,20,,56
05/06/2018,15,3,12,22,,52
05/07/2018,10,9,4,13,,36
05/08/2018,9,11,12,11,,43
05/09/2018,11,13,6,9,,39
05/10/2018,9,11,10,13,,43
05/11/2018,20,8,18,17,,63
05/12/2018,14,11,20,15,,60
05/13/2018,14,5,21,25,,65
05/14/2018,15,9,11,20,,55
05/15/2018,20,14,18,17,,69
05/16/2018,10,11,17,9,,47
05/17/2018,5,9,15,8,,37
05/18/2018,9,5,13,17,,44
05/19/2018,8,7,17,9,,41
05/20/2018,9,5,13,15,,42
05/21/2018,12,7,7,10,,36
05/22/2018,11,7,13,6,,37
05/23/2018,9,8,8,10,,35
05/24/2018,10,4,11,12,,37
05/25/2018,7,15,18,10,,50
05/26/2018,11,13,18,19,,61
05/27/2018,14,8,14,14,,50
05/28/2018,11,14,12,12,,49
05/29/2018,7,7,5,13,,32
05/30/2018,10,7,4,7,,28
05/31/2018,11,10,12,11,,44
06/01/2018,15,8,11,17,,51
06/02/2018,11,11,19,19,,60
06/03/2018,16,9,11,15,,51
06/04/2018,7,6,10,14,,37
06/05/2018,11,3,17,14,,45
06/06/2018,13,7,14,18,,52
06/07/2018,16,9,10,14,,49
06/08/2018,7,5,12,8,,32
06/09/2018,15,10,12,13,,50
06/10/2018,14,6,14,13,,47
06/11/2018,13,3,13,12,,41
06/12/2018,10,3,10,8,,31
06/13/2018,8,3,12,11,,34
06/14/2018,14,9,10,11,,44
06/15/2018,8,10,11,10,,39
06/16/2018,6,4,10,13,,33
06/17/2018,18,9,9,17,,53
06/18/2018,10,7,16,14,,47
06/19/2018,5,6,11,6,,28
06/20/2018,3,7,10,10,,30
06/21/2018,15,9,13,19,,56
06/22/2018,18,7,8,10,,43
06/23/2018,13,10,14,17,,54
06/24/2018,8,4,12,16,,40
06/25/2018,6,12,16,9,,43
06/26/2018,12,4,6,18,,40
06/27/2018,9,5,9,13,,36
06/28/2018,11,6,6,13,,36
06/29/2018,7,7,9,5,,28
06/30/2018,10,12,7,13,,42
07/01/2018,24,12,13,18,,67
07/02/2018,10,11,14,9,,44
07/03/2018,9,10,14,6,,39
07/04/2018,13,11,11,11,,46
07/05/2018,9,10,13,10,,42
07/06/2018,8,4,14,14,,40
07/07/2018,9,8,8,10,,35
07/08/2018,13,6,12,15,,46
07/09/2018,9,10,10,12,,41
07/10/2018,13,6,9,15,,43
07/11/2018,5,9,10,10,,34
07/12/2018,13,8,10,12,,43
07/13/2018,9,5,13,7,,34
07/14/2018,9,9,10,17,,45
07/15/2018,6,3,14,14,,37
07/16/2018,19,13,12,17,,61
07/17/2018,12,8,8,14,,42
07/18/2018,5,8,10,9,,32
07/19/2018,4,7,16,7,,34
07/20/2018,12,8,10,7,,37
07/21/2018,7,9,9,12,,37
07/22/2018,16,8,9,16,,49
07/23/2018,12,7,13,13,,45
07/24/2018,12,8,10,13,,43
07/25/2018,11,6,14,8,,39
07/26/2018,14,10,14,11,,49
07/27/2018,13,5,11,20,,49
07/28/2018,13,5,8,12,,38
07/29/2018,5,10,7,11,,33
07/30/2018,8,8,9,10,,35
07/31/2018,8,9,17,10,,44
08/01/2018,8,4,10,15,,37
08/02/2018,8,6,10,9,,33
08/03/2018,8,7,15,14,,44
08/04/2018,13,9,13,13,,48
08/05/2018,15,11,8,17,,51
08/06/2018,13,7,15,14,,49
08/07/2018,9,8,10,4,,31
08/08/2018,11,9,9,10,,39
08/09/2018,6,4,15,12,,37
08/10/2018,10,11,7,9,,37
08/11/2018,9,9,9,15,,42
08/12/2018,8,10,9,19,,46
08/13/2018,8,10,16,16,,50
08/14/2018,9,10,13,14,,46
08/15/2018,8,10,10,15,,43
08/16/2018,8,6,5,15,,34
08/17/2018,10,6,13,14,,43
08/18/2018,12,8,14,11,,45
08/19/2018,10,6,11,11,,38
08/20/2018,8,11,8,4,,31
08/21/2018,4,4,17,13,,38
08/22/2018,11,7,7,11,,36
08/23/2018,10,7,11,12,,40
08/24/2018,10,12,10,14,,46
08/25/2018,11,5,12,18,,46
08/26/2018,4,5,7,12,,28
08/27/2018,10,16,10,16,,52
08/28/2018,8,5,12,12,,37
08/29/2018,10,10,14,14,,48
08/30/2018,5,7,10,12,,34
08/31/2018,6,5,13,12,,36
09/01/2018,10,14,12,17,,53
09/02/2018,20,8,17,16,,61
09/03/2018,6,9,12,14,,41
09/04/2018,9,9,9,12,,39
09/05/2018,5,8,13,6,,32
09/06/2018,16,15,10,10,,51
09/07/2018,13,15,9,12,,49
09/08/2018,9,8,15,11,,43
09/09/2018,8,8,10,15,,41
09/10/2018,9,5,12,22,,48
09/11/2018,11,3,9,10,,33
09/12/2018,10,4,21,15,,50
09/13/2018,9,7,19,13,,48
09/14/2018,14,5,5,12,,36
09/15/2018,11,5,8,11,,35
09/16/2018,8,10,11,12,,41
09/17/2018,8,9,6,15,,38
09/18/2018,10,10,3,9,,32
09/19/2018,12,10,7,11,,40
09/20/2018,4,11,3,9,,27
09/21/2018,13,10,7,18,,48
09/22/2018,10,9,11,16,,46
09/23/2018,9,8,16,19,,52
09/24/2018,2,12,6,14,,34
09/25/2018,10,4,15,8,,37
09/26/2018,10,11,11,8,,40
09/27/2018,4,12,11,17,,44
09/28/2018,7,7,15,9,,38
09/29/2018,10,10,11,16,,47
09/30/2018,16,9,14,14,,53
10/01/2018,9,4,7,12,,32
10/02/2018,10,5,14,9,,38
10/03/2018,7,8,11,15,,41
10/04/2018,5,9,10,9,,33
10/05/2018,12,8,10,11,,41
10/06/2018,16,10,9,10,,45
10/07/2018,6,4,10,26,,46
10/08/2018,11,4,11,10,,36
10/09/2018,12,11,20,13,,56
10/10/2018,7,12,13,11,,43
