Date,0,1,2,3,4,Total
05/24/2015,12,10,8,8,,38
05/25/2015,15,7,12,14,,48
05/26/2015,8,11,8,19,,46
05/27/2015,15,10,9,11,,45
05/28/2015,9,7,15,6,1,38
05/29/2015,9,7,15,14,,45
05/30/2015,20,6,24,20,,70
05/31/2015,11,5,10,15,,41
06/01/2015,10,9,10,10,,39
06/02/2015,9,9,9,9,,36
06/03/2015,11,7,7,9,,34
06/04/2015,6,10,15,16,,47
06/05/2015,8,7,4,8,,27
06/06/2015,10,7,14,13,1,45
06/07/2015,9,5,11,11,,36
06/08/2015,10,12,12,9,,43
06/09/2015,9,8,15,9,,41
06/10/2015,10,4,21,18,,53
06/11/2015,7,7,10,13,,37
06/12/2015,11,7,11,8,1,38
06/13/2015,17,11,11,21,1,61
06/14/2015,27,6,11,18,,62
06/15/2015,11,6,17,4,,38
06/16/2015,9,8,8,9,1,35
06/17/2015,7,12,11,13,,43
06/18/2015,8,9,9,12,,38
06/19/2015,11,7,6,10,,34
06/20/2015,21,8,7,11,1,48
06/21/2015,11,11,10,22,1,55
06/22/2015,11,7,12,16,1,47
06/23/2015,11,7,11,9,,38
06/24/2015,15,7,11,4,,37
06/25/2015,3,5,15,10,,33
06/26/2015,11,7,8,10,,36
06/27/2015,15,4,11,17,2,49
06/28/2015,20,12,10,16,,58
06/29/2015,10,4,10,16,,40
06/30/2015,10,8,14,11,,43
07/01/2015,13,4,6,12,,35
07/02/2015,7,9,12,11,,39
07/03/2015,10,6,14,14,1,45
07/04/2015,13,13,10,17,,53
07/05/2015,10,13,21,17,,61
07/06/2015,15,7,14,15,1,52
07/07/2015,10,6,14,7,,37
07/08/2015,10,7,9,7,,33
07/09/2015,6,7,15,9,,37
07/10/2015,8,12,12,9,,41
07/11/2015,6,13,12,11,,42
07/12/2015,15,6,8,11,,40
07/13/2015,12,4,4,13,1,34
07/14/2015,9,7,16,10,,42
07/15/2015,10,11,14,13,,48
07/16/2015,8,8,5,9,1,31
07/17/2015,13,9,17,17,,56
07/18/2015,8,7,7,15,,37
07/19/2015,9,7,8,12,,36
07/20/2015,12,5,8,15,,40
07/21/2015,7,7,11,10,,35
07/22/2015,8,4,10,5,,27
07/23/2015,5,11,8,6,,30
07/24/2015,14,9,13,13,1,50
07/25/2015,12,6,12,21,,51
07/26/2015,10,3,9,14,,36
07/27/2015,10,9,9,11,,39
07/28/2015,5,5,10,9,1,30
07/29/2015,10,8,22,8,1,49
07/30/2015,6,6,3,14,,29
07/31/2015,4,15,9,10,,38
08/01/2015,12,2,4,15,,33
08/02/2015,12,8,13,18,,51
