Date,Central,East,North,NorthEast,South,West,Total
04/14/2022,17,5,15,26,8,2,73
04/15/2022,20,11,11,24,2,3,71
04/16/2022,22,8,7,23,6,4,70
04/17/2022,14,4,3,18,9,4,52
04/18/2022,16,5,10,15,8,4,58
04/19/2022,18,9,9,5,3,0,44
04/20/2022,10,3,2,10,10,4,39
04/21/2022,19,6,8,25,7,3,68
04/22/2022,9,8,2,11,7,3,40
04/23/2022,17,2,7,17,6,1,50
04/24/2022,14,5,2,3,9,3,36
04/25/2022,20,6,6,8,11,2,53
04/26/2022,9,7,7,18,4,4,49
04/27/2022,18,4,6,21,6,2,57
04/28/2022,17,7,4,14,8,4,54
04/29/2022,12,5,3,19,4,5,48
04/30/2022,16,9,7,18,4,6,60
05/01/2022,14,9,3,13,3,1,43
05/02/2022,17,11,4,15,5,5,57
05/03/2022,13,11,5,18,9,2,58
05/04/2022,16,5,10,12,6,0,49
05/05/2022,15,5,9,13,4,4,50
05/06/2022,11,12,6,20,7,2,58
05/07/2022,11,8,6,19,7,4,55
05/08/2022,17,12,6,12,7,0,54
05/09/2022,20,4,4,16,8,2,54
05/10/2022,13,7,3,23,5,5,56
05/11/2022,12,4,6,15,8,4,49
05/12/2022,24,5,5,19,14,2,69
05/13/2022,21,6,1,18,4,1,51
05/14/2022,20,10,3,16,10,2,61
05/15/2022,15,12,9,11,5,6,58
05/16/2022,16,4,10,9,6,5,50
05/17/2022,19,6,5,21,10,3,64
05/18/2022,11,7,9,11,7,3,48
05/19/2022,11,5,4,18,11,5,54
05/20/2022,10,8,3,7,7,0,35
05/21/2022,6,8,1,10,5,1,31
05/22/2022,12,9,5,12,5,3,46
05/23/2022,11,6,4,14,7,1,43
05/24/2022,13,10,2,10,5,2,42
05/25/2022,15,10,5,12,4,5,51
05/26/2022,12,4,7,10,7,3,43
05/27/2022,19,5,3,16,5,1,49
05/28/2022,12,8,4,15,6,4,49
05/29/2022,17,4,6,19,9,2,57
05/30/2022,17,9,5,20,6,5,62
05/31/2022,23,5,4,16,5,5,58
06/01/2022,14,5,8,10,13,3,53
06/02/2022,18,8,4,17,6,5,58
06/03/2022,18,6,5,17,9,3,58
06/04/2022,8,14,4,18,10,4,58
06/05/2022,18,7,4,20,14,1,64
06/06/2022,16,9,5,17,8,2,57
06/07/2022,6,4,8,19,4,2,43
06/08/2022,14,5,4,12,9,3,47
06/09/2022,5,8,8,15,7,1,44
06/10/2022,12,8,10,22,3,4,59
06/11/2022,13,6,9,21,7,6,62
06/12/2022,10,10,4,19,5,5,53
06/13/2022,12,6,10,15,10,1,54
06/14/2022,8,4,4,19,7,2,44
06/15/2022,8,9,3,14,3,4,41
06/16/2022,19,5,3,13,7,2,49
06/17/2022,18,4,5,15,9,3,54
06/18/2022,11,6,9,18,5,4,53
06/19/2022,11,1,4,10,6,1,33
06/20/2022,18,7,4,17,10,4,60
06/21/2022,11,5,8,11,5,4,44
06/22/2022,22,1,8,13,7,3,54
06/23/2022,16,1,5,13,6,0,41
06/24/2022,18,2,3,14,3,2,42
06/25/2022,14,10,4,13,9,0,50
06/26/2022,9,8,10,16,8,1,52
06/27/2022,18,5,5,10,7,4,49
06/28/2022,12,12,3,8,7,3,45
06/29/2022,13,5,5,12,4,7,46
06/30/2022,14,10,6,20,3,0,53
07/01/2022,12,3,3,18,11,2,49
07/02/2022,14,9,9,23,9,4,68
07/03/2022,22,3,4,21,7,3,60
07/04/2022,11,8,7,15,6,5,52
07/05/2022,13,2,6,12,7,0,40
07/06/2022,16,10,5,10,4,0,45
07/07/2022,12,9,9,12,1,4,47
07/08/2022,11,9,10,15,9,4,58
07/09/2022,21,3,9,14,12,0,59
07/10/2022,11,16,12,19,21,2,81
07/11/2022,12,4,8,18,12,3,57
07/12/2022,14,4,7,13,2,5,45
07/13/2022,16,5,3,13,7,10,54
07/14/2022,12,4,5,8,8,6,43
07/15/2022,11,1,1,9,9,2,33
07/16/2022,11,6,1,17,4,2,41
07/17/2022,14,7,9,16,10,1,57
07/18/2022,18,3,4,18,4,0,47
07/19/2022,10,7,7,6,7,2,39
07/20/2022,12,14,6,17,7,5,61
07/21/2022,17,4,1,17,6,2,47
07/22/2022,9,11,1,9,7,1,38
07/23/2022,8,9,2,12,10,3,44
07/24/2022,21,10,8,14,16,2,71
07/25/2022,13,3,7,10,10,4,47
07/26/2022,22,4,2,12,4,1,45
07/27/2022,11,5,2,14,10,3,45
07/28/2022,14,6,5,12,5,3,45
07/29/2022,11,5,4,9,3,5,37
07/30/2022,34,5,9,23,9,2,82
07/31/2022,18,7,5,13,5,1,49
08/01/2022,14,7,5,7,7,4,44
08/02/2022,15,3,6,8,7,3,42
08/03/2022,18,6,6,18,4,5,57
08/04/2022,16,9,4,12,3,3,47
08/05/2022,13,5,2,11,2,4,37
08/06/2022,13,5,6,12,7,4,47
08/07/2022,10,8,5,17,13,2,55
08/08/2022,9,10,4,8,7,1,39
08/09/2022,11,1,1,10,7,4,34
08/10/2022,21,5,6,15,1,2,50
08/11/2022,9,8,6,14,9,3,49
08/12/2022,7,3,5,7,11,4,37
08/13/2022,17,2,5,9,8,4,45
08/14/2022,12,4,4,10,2,2,34
08/15/2022,7,7,5,17,8,4,48
08/16/2022,22,4,5,20,7,0,58
08/17/2022,9,5,6,8,17,4,49
08/18/2022,16,6,3,8,2,2,37
08/19/2022,11,8,7,5,7,2,40
08/20/2022,17,2,6,15,8,6,54
08/21/2022,14,5,5,8,4,1,37
08/22/2022,14,4,5,17,6,1,47
08/23/2022,16,4,10,13,4,1,48
08/24/2022,8,6,5,16,6,2,43
08/25/2022,11,4,5,12,6,2,40
08/26/2022,9,5,4,10,8,1,37
08/27/2022,14,6,6,16,10,1,53
08/28/2022,18,5,12,15,5,1,56
08/29/2022,10,2,4,11,6,3,36
08/30/2022,10,5,7,16,11,2,51
08/31/2022,10,4,13,11,7,3,48
09/01/2022,12,4,8,16,9,4,53
09/02/2022,15,5,14,16,10,5,65
09/03/2022,19,1,11,17,4,1,53
09/04/2022,11,4,15,17,5,3,55
09/05/2022,10,10,3,12,8,3,46
09/06/2022,15,7,5,17,10,4,58
09/07/2022,7,4,5,6,12,6,40
09/08/2022,12,12,4,15,9,2,54
09/09/2022,11,7,5,11,10,1,45
09/10/2022,10,8,5,8,5,1,37
09/11/2022,9,7,5,20,7,1,49
09/12/2022,21,6,3,21,11,0,62
09/13/2022,13,9,7,11,7,0,47
09/14/2022,11,4,3,9,8,5,40
09/15/2022,8,4,3,13,7,4,39
09/16/2022,9,6,7,9,7,7,45
09/17/2022,9,5,6,10,10,5,45
09/18/2022,18,7,4,12,7,1,49
09/19/2022,14,6,7,12,6,0,45
09/20/2022,6,4,2,16,9,2,39
09/21/2022,13,11,2,16,7,2,51
09/22/2022,15,5,3,16,9,0,48
09/23/2022,11,3,1,12,7,2,36
09/24/2022,17,4,6,15,8,4,54
09/25/2022,11,8,6,15,6,5,51
09/26/2022,9,3,8,10,6,0,36
09/27/2022,23,5,4,2,2,3,39
09/28/2022,14,8,1,17,6,5,51
09/29/2022,9,1,4,9,4,1,28
09/30/2022,8,3,4,6,0,1,22
