Date,Central,East,North,NorthEast,South,West,Total
03/12/2021,21,4,6,28,9,2,70
03/13/2021,15,7,4,19,12,5,62
03/14/2021,19,8,8,20,10,2,67
03/15/2021,15,6,5,15,3,2,46
03/16/2021,17,4,3,14,4,1,43
03/17/2021,10,4,6,17,11,2,50
03/18/2021,8,1,5,13,7,3,37
03/19/2021,13,2,6,18,8,4,51
03/20/2021,14,4,7,19,5,2,51
03/21/2021,13,3,4,15,4,4,43
03/22/2021,13,2,5,20,4,2,46
03/23/2021,9,2,5,13,13,3,45
03/24/2021,14,8,5,18,8,5,58
03/25/2021,17,7,11,11,5,1,52
03/26/2021,10,1,6,13,6,2,38
03/27/2021,15,7,5,13,5,3,48
03/28/2021,19,9,5,20,9,1,63
03/29/2021,17,4,10,11,3,4,49
03/30/2021,10,7,1,16,11,3,48
03/31/2021,6,4,6,17,7,3,43
04/01/2021,19,6,7,21,7,5,65
04/02/2021,14,10,6,21,6,1,58
04/03/2021,11,4,10,19,7,2,53
04/04/2021,14,5,6,9,9,4,47
04/05/2021,11,6,3,8,5,4,37
04/06/2021,10,4,3,13,3,3,36
04/07/2021,8,3,1,13,9,0,34
04/08/2021,19,8,6,18,4,2,57
04/09/2021,8,7,2,19,6,1,43
04/10/2021,12,4,5,19,7,2,49
04/11/2021,15,3,3,21,10,1,53
04/12/2021,16,9,4,25,3,3,60
04/13/2021,11,6,4,19,4,3,47
04/14/2021,17,4,3,15,3,7,49
04/15/2021,8,4,5,14,6,1,38
04/16/2021,8,5,2,8,6,3,32
04/17/2021,9,4,3,14,4,0,34
04/18/2021,11,2,3,12,1,3,32
04/19/2021,7,5,4,14,3,4,37
04/20/2021,10,2,1,10,5,1,29
04/21/2021,8,6,5,13,7,1,40
04/22/2021,11,4,2,11,9,4,41
04/23/2021,14,6,6,15,4,3,48
04/24/2021,8,7,3,8,4,2,32
04/25/2021,10,3,2,11,5,2,33
04/26/2021,15,3,2,12,7,4,43
04/27/2021,9,5,2,11,5,3,35
04/28/2021,6,5,9,11,3,6,40
04/29/2021,9,5,1,12,1,3,31
04/30/2021,12,5,8,7,7,1,40
05/01/2021,6,2,10,12,4,2,36
05/02/2021,12,5,5,7,6,2,37
05/03/2021,5,5,2,15,1,1,29
05/04/2021,6,2,3,16,4,3,34
05/05/2021,7,7,1,8,8,3,34
05/06/2021,8,2,5,11,3,3,32
05/07/2021,14,4,3,12,5,3,41
05/08/2021,14,5,4,9,6,2,40
05/09/2021,11,3,2,10,6,1,33
05/10/2021,10,6,4,9,5,2,36
05/11/2021,9,7,4,9,6,1,36
05/12/2021,11,3,6,13,4,2,39
05/13/2021,12,3,5,10,4,1,35
05/14/2021,12,3,5,12,4,2,38
05/15/2021,9,5,3,4,5,3,29
05/16/2021,14,6,5,7,5,4,41
05/17/2021,16,8,3,14,9,7,57
05/18/2021,11,4,2,12,6,1,36
05/19/2021,12,5,1,12,7,6,43
05/20/2021,20,10,4,11,3,2,50
05/21/2021,15,10,4,11,6,4,50
05/22/2021,13,3,2,19,4,2,43
05/23/2021,7,4,3,17,0,7,38
05/24/2021,14,1,2,12,3,3,35
05/25/2021,11,5,1,14,6,4,41
05/26/2021,9,3,6,12,5,0,35
05/27/2021,8,2,1,9,5,3,28
05/28/2021,19,8,6,8,4,1,46
05/29/2021,9,9,3,9,5,4,39
05/30/2021,13,6,5,10,4,1,39
05/31/2021,6,5,1,8,3,2,25
06/01/2021,11,5,3,14,3,2,38
06/02/2021,13,3,7,13,2,1,39
06/03/2021,11,3,4,16,6,0,40
06/04/2021,10,5,6,10,4,3,38
06/05/2021,12,3,5,12,6,3,41
06/06/2021,8,6,3,7,6,0,30
06/07/2021,9,5,2,6,13,1,36
06/08/2021,13,5,6,6,10,2,42
06/09/2021,8,6,1,8,8,4,35
06/10/2021,9,0,4,10,1,5,29
06/11/2021,13,7,2,7,4,1,34
06/12/2021,16,5,1,11,2,2,37
06/13/2021,10,6,3,8,3,4,34
06/14/2021,7,7,3,15,3,2,37
06/15/2021,14,1,4,13,7,0,39
06/16/2021,14,5,2,7,2,1,31
06/17/2021,14,8,4,9,1,1,37
06/18/2021,10,2,1,7,3,2,25
06/19/2021,9,3,3,16,1,3,35
06/20/2021,15,9,3,8,5,1,41
06/21/2021,12,4,1,12,1,2,32
06/22/2021,10,5,8,14,4,1,42
06/23/2021,6,4,2,17,4,2,35
06/24/2021,11,5,2,12,6,3,39
06/25/2021,18,8,4,10,7,0,47
06/26/2021,19,3,4,16,5,1,48
06/27/2021,10,5,4,4,11,3,37
06/28/2021,10,3,2,6,5,1,27
06/29/2021,12,8,1,15,8,3,47
06/30/2021,9,4,2,9,6,5,35
07/01/2021,14,6,8,8,12,4,52
07/02/2021,7,4,4,8,3,4,30
07/03/2021,10,5,4,12,8,4,43
07/04/2021,12,3,8,9,7,2,41
07/05/2021,15,2,2,16,6,0,41
07/06/2021,12,3,6,12,5,1,39
07/07/2021,9,6,3,9,3,1,31
07/08/2021,13,4,3,11,6,1,38
07/09/2021,15,6,4,8,1,0,34
07/10/2021,7,7,3,12,7,2,38
07/11/2021,3,5,6,7,4,0,25
07/12/2021,12,8,5,12,6,1,44
07/13/2021,12,2,4,13,4,1,36
07/14/2021,12,2,3,7,3,0,27
07/15/2021,10,6,3,11,6,3,39
07/16/2021,3,4,5,11,4,1,28
07/17/2021,8,1,9,10,2,3,33
07/18/2021,11,2,5,10,9,0,37
07/19/2021,9,6,3,12,3,2,35
07/20/2021,5,3,8,13,5,0,34
07/21/2021,9,3,2,8,4,1,27
07/22/2021,9,2,1,8,4,2,26
07/23/2021,5,1,3,8,4,1,22
07/24/2021,5,2,3,11,9,4,34
07/25/2021,4,3,1,8,4,1,21
07/26/2021,15,2,3,10,5,1,36
07/27/2021,9,3,3,7,4,0,26
07/28/2021,10,6,2,8,2,5,33
